interval                      | count | avg_ms  | p50_ms  | p95_ms   | max_ms   | total_ms
------------------------------+-------+---------+---------+----------+----------+----------
coordinator_e2e               | 80    | 900.34  | 557.258 | 1962.163 | 2009.6   | 72027.229
stage_total                   | 80    | 898.343 | 555.885 | 1959.61  | 2006.831 | 71867.431
stage_dispatch_wait           | 80    | 0.436   | 0.295   | 1.057    | 1.946    | 34.864
stage_pre_build_wait          | 80    | 445.241 | 269.965 | 1321.015 | 1408.371 | 35619.247
request_build_total           | 80    | 21.459  | 20.365  | 27.933   | 34.895   | 1716.697
asr_audio_decode              | 80    | 8.504   | 8.335   | 9.22     | 16.285   | 680.355
asr_feature_extract           | 80    | 8.454   | 7.958   | 13.005   | 17.381   | 676.342
asr_prompt_build              | 80    | 0.619   | 0.495   | 1.292    | 1.36     | 49.494
asr_multimodal_package        | 80    | 0.382   | 0.324   | 0.602    | 1.082    | 30.562
asr_sampling_request          | 80    | 0.369   | 0.297   | 0.703    | 1.277    | 29.496
post_build_to_queue_enter     | 80    | 0.335   | 0.265   | 0.821    | 1.111    | 26.827
scheduler_queue_wait          | 80    | 202.229 | 196.963 | 381.574  | 645.377  | 16178.326
model_to_result_adapter       | 80    | 227.751 | 119.7   | 514.287  | 1258.072 | 18220.058
scheduler_to_stage_complete   | 80    | 229.079 | 120.691 | 519.759  | 1258.764 | 18326.335
asr_result_adapter            | 80    | 0.563   | 0.317   | 1.229    | 5.987    | 45.057
post_result_to_stage_complete | 80    | 0.765   | 0.655   | 1.137    | 7.249    | 61.219
request_build_misc            | 80    | 3.131   | 2.354   | 8.261    | 10.644   | 250.448
