interval                | count | avg_ms  | p50_ms  | p95_ms  | max_ms  | total_ms
------------------------+-------+---------+---------+---------+---------+----------
coordinator_e2e         | 60    | 553.196 | 548.866 | 610.065 | 613.594 | 33191.737
stage_total             | 60    | 551.387 | 545.85  | 608.953 | 611.967 | 33083.192
stage_pre_build_wait    | 60    | 208.065 | 206.668 | 392.352 | 416.167 | 12483.91
request_build_total     | 60    | 20.989  | 19.927  | 27.378  | 29.719  | 1259.359
asr_audio_decode        | 60    | 8.442   | 8.335   | 9.084   | 16.285  | 506.511
asr_feature_extract     | 60    | 7.963   | 7.407   | 11.275  | 13.709  | 477.754
scheduler_queue_wait    | 60    | 191.441 | 194.804 | 373.15  | 398.516 | 11486.445
model_to_result_adapter | 60    | 129.117 | 98.014  | 186.342 | 526.197 | 7746.997
asr_result_adapter      | 60    | 0.618   | 0.317   | 1.715   | 5.987   | 37.051
